"rn","V1","V2","V3","order","type","count"
"1","insect_ordercoleoptera:study_typea",-0.326410858690845,-0.502620468395866,-0.150201248985824,"Coleoptera","A",169
"2","insect_orderdiptera:study_typea",0.0599319651475708,-0.52664489456864,0.646508824863782,"Diptera","A",14
"3","insect_orderhemiptera:study_typea",-0.672490758086281,-0.977897503053602,-0.36708401311896,"Hemiptera","A",63
"4","insect_orderhymenoptera:study_typea",-1.50238834643356,-2.35399175937893,-0.650784933488192,"Hymenoptera","A",9
"5","insect_orderlepidoptera:study_typea",-1.22089934033731,-1.4854462889063,-0.95635239176831,"Lepidoptera","A",76
"6","insect_orderorthoptera:study_typea",-0.609692591294916,-1.18876796747812,-0.0306172151117097,"Orthoptera","A",15
"7","insect_orderhemiptera:study_typeb",-0.451547843457444,-1.16911905221907,0.266023365304179,"Hemiptera","B",13
"8","insect_orderorthoptera:study_typeb",-0.398759188365222,-0.780604989451618,-0.0169133872788269,"Orthoptera","B",34
"9","insect_ordercoleoptera:study_typec",-0.434986481693873,-0.78587112333377,-0.0841018400539755,"Coleoptera","C",51
"10","insect_orderhemiptera:study_typec",-1.14385405341031,-2.22446372743836,-0.0632443793822599,"Hemiptera","C",5
"11","insect_orderlepidoptera:study_typec",-2.22585935711011,-3.84772408400991,-0.603994630210308,"Lepidoptera","C",3
"12","insect_orderorthoptera:study_typec",-1.51629497485743,-2.58990636519631,-0.442683584518554,"Orthoptera","C",5
"13","insect_ordercoleoptera:study_typed",-0.976877415542201,-1.14178475303321,-0.811970078051193,"Coleoptera","D",207
"14","insect_orderhemiptera:study_typed",-0.606124598551622,-0.992139501174762,-0.220109695928481,"Hemiptera","D",33
"15","insect_orderlepidoptera:study_typed",-0.200009708525813,-0.585585464740871,0.185566047689246,"Lepidoptera","D",37
"16","insect_orderorthoptera:study_typed",-2.03020957053507,-2.93923957611495,-1.12117956495518,"Orthoptera","D",10
"17","insect_ordercoleoptera:study_typee",-0.94079476770019,-1.30524460077339,-0.57634493462699,"Coleoptera","E",38
"18","insect_orderdiptera:study_typee",1.19703194264714,-0.1026376383154,2.49670152360967,"Diptera","E",3
"19","insect_orderlepidoptera:study_typee",-4.02501992680497,-5.15072419560109,-2.89931565800884,"Lepidoptera","E",8
